0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
18,1,13,3,8,15,11,9,4,19,12,14,16,5,6,7,2,17,10,18,1,13,3,8,15,11,9,4,19,12,14,16,5,6,7,2,17,10
17,0,12,2,7,14,10,8,3,18,11,13,15,4,5,6,19,16,9,17,0,12,2,7,14,10,8,3,18,11,13,15,4,5,6,19,16,9
16,18,11,1,6,13,9,7,19,17,10,12,14,3,4,5,0,15,8,16,18,11,1,6,13,9,7,19,17,10,12,14,3,4,5,0,15,8
15,17,10,0,5,12,8,6,1,16,9,11,13,2,19,4,18,14,7,15,17,10,0,5,12,8,6,1,16,9,11,13,2,19,4,18,14,7
14,16,9,18,19,11,7,5,0,15,8,10,12,1,2,3,17,13,6,14,16,9,18,19,11,7,5,0,15,8,10,12,1,2,3,17,13,6
13,15,8,17,3,10,6,4,18,14,7,9,11,0,1,2,16,12,19,13,15,8,17,3,10,6,4,18,14,7,9,11,0,1,2,16,12,19
12,14,7,16,2,9,5,3,17,13,19,8,10,18,0,1,15,11,4,12,14,7,16,2,9,5,3,17,13,19,8,10,18,0,1,15,11,4
11,13,6,15,1,8,4,2,16,12,5,19,9,17,18,0,14,10,3,11,13,6,15,1,8,4,2,16,12,5,19,9,17,18,0,14,10,3
10,12,5,14,0,7,3,1,15,11,4,6,19,16,17,18,13,9,2,10,12,5,14,0,7,3,1,15,11,4,6,19,16,17,18,13,9,2
19,11,4,13,18,6,2,0,14,10,3,5,7,15,16,17,12,8,1,19,11,4,13,18,6,2,0,14,10,3,5,7,15,16,17,12,8,1
8,19,3,12,17,5,1,18,13,9,2,4,6,14,15,16,11,7,0,8,19,3,12,17,5,1,18,13,9,2,4,6,14,15,16,11,7,0
7,9,2,19,16,4,0,17,12,8,1,3,5,13,14,15,10,6,18,7,9,2,19,16,4,0,17,12,8,1,3,5,13,14,15,10,6,18
6,8,1,10,15,3,18,16,11,7,0,2,4,19,13,14,9,5,17,6,8,1,10,15,3,18,16,11,7,0,2,4,19,13,14,9,5,17
5,7,0,9,14,2,17,15,10,6,18,1,3,11,12,19,8,4,16,5,7,0,9,14,2,17,15,10,6,18,1,3,11,12,19,8,4,16
4,6,18,8,13,1,16,19,9,5,17,0,2,10,11,12,7,3,15,4,6,18,8,13,1,16,19,9,5,17,0,2,10,11,12,7,3,15
3,5,17,7,12,0,19,13,8,4,16,18,1,9,10,11,6,2,14,3,5,17,7,12,0,19,13,8,4,16,18,1,9,10,11,6,2,14
2,4,19,6,11,18,14,12,7,3,15,17,0,8,9,10,5,1,13,2,4,19,6,11,18,14,12,7,3,15,17,0,8,9,10,5,1,13
1,3,15,5,10,19,13,11,6,2,14,16,18,7,8,9,4,0,12,1,3,15,5,10,19,13,11,6,2,14,16,18,7,8,9,4,0,12
0,2,14,4,9,16,12,10,5,1,13,15,17,6,7,8,3,19,11,0,2,14,4,9,16,12,10,5,1,13,15,17,6,7,8,3,19,11
9,10,16,11,4,17,15,14,2,0,6,7,8,12,3,13,1,18,5,9,10,16,11,4,17,15,14,2,0,6,7,8,12,3,13,1,18,5
