0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
39,11,28,34,6,26,29,20,25,7,38,27,2,43,40,32,5,35,3,42,24,18,31,13,21,30,4,22,14,41,15,16,8,17,33,19,37,36,9,23,10,12,1,39,11,28,34,6,26,29,20,25,7,38,27,2,43,40,32,5,35,3,42,24,18,31,13,21,30,4,22,14,41,15,16,8,17,33,19,37,36,9,23,10,12,1
38,10,27,33,5,25,28,19,24,6,37,26,43,42,39,31,4,34,2,41,23,17,30,12,20,29,3,21,13,40,14,15,7,16,32,18,36,35,8,22,9,11,0,38,10,27,33,5,25,28,19,24,6,37,26,43,42,39,31,4,34,2,41,23,17,30,12,20,29,3,21,13,40,14,15,7,16,32,18,36,35,8,22,9,11,0
37,9,26,32,4,24,27,18,23,5,36,25,0,41,38,30,3,33,1,40,22,16,29,11,19,28,43,20,12,39,13,14,6,15,31,17,35,34,7,21,8,10,42,37,9,26,32,4,24,27,18,23,5,36,25,0,41,38,30,3,33,1,40,22,16,29,11,19,28,43,20,12,39,13,14,6,15,31,17,35,34,7,21,8,10,42
36,8,25,31,43,23,26,17,22,4,35,24,42,40,37,29,2,32,0,39,21,15,28,10,18,27,1,19,11,38,12,13,5,14,30,16,34,33,6,20,7,9,41,36,8,25,31,43,23,26,17,22,4,35,24,42,40,37,29,2,32,0,39,21,15,28,10,18,27,1,19,11,38,12,13,5,14,30,16,34,33,6,20,7,9,41
35,7,24,30,2,22,25,16,21,3,34,23,41,39,36,28,1,31,42,38,20,14,27,9,17,26,0,18,10,37,11,12,43,13,29,15,33,32,5,19,6,8,40,35,7,24,30,2,22,25,16,21,3,34,23,41,39,36,28,1,31,42,38,20,14,27,9,17,26,0,18,10,37,11,12,43,13,29,15,33,32,5,19,6,8,40
34,6,23,29,1,21,24,15,20,2,33,22,40,38,35,27,0,30,41,37,19,13,26,8,16,25,42,17,9,36,10,11,3,12,28,14,32,31,4,18,43,7,39,34,6,23,29,1,21,24,15,20,2,33,22,40,38,35,27,0,30,41,37,19,13,26,8,16,25,42,17,9,36,10,11,3,12,28,14,32,31,4,18,43,7,39
33,5,22,28,0,20,23,14,19,1,32,21,39,37,34,26,42,29,40,36,18,12,25,7,15,24,41,16,8,35,9,10,2,11,27,13,31,30,3,17,4,43,38,33,5,22,28,0,20,23,14,19,1,32,21,39,37,34,26,42,29,40,36,18,12,25,7,15,24,41,16,8,35,9,10,2,11,27,13,31,30,3,17,4,43,38
32,4,21,27,42,19,22,13,18,0,31,20,38,36,33,25,41,28,39,35,17,11,24,6,14,23,40,15,43,34,8,9,1,10,26,12,30,29,2,16,3,5,37,32,4,21,27,42,19,22,13,18,0,31,20,38,36,33,25,41,28,39,35,17,11,24,6,14,23,40,15,43,34,8,9,1,10,26,12,30,29,2,16,3,5,37
31,3,20,26,41,18,21,12,17,42,30,19,37,35,32,24,40,27,38,34,16,10,23,5,13,22,39,14,6,33,7,43,0,9,25,11,29,28,1,15,2,4,36,31,3,20,26,41,18,21,12,17,42,30,19,37,35,32,24,40,27,38,34,16,10,23,5,13,22,39,14,6,33,7,43,0,9,25,11,29,28,1,15,2,4,36
30,2,19,25,40,17,20,11,16,41,29,18,36,34,31,23,39,26,37,33,15,43,22,4,12,21,38,13,5,32,6,7,42,8,24,10,28,27,0,14,1,3,35,30,2,19,25,40,17,20,11,16,41,29,18,36,34,31,23,39,26,37,33,15,43,22,4,12,21,38,13,5,32,6,7,42,8,24,10,28,27,0,14,1,3,35
