0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
3,14,15,13,7,6,1,12,4,9,5,17,11,10,16,8,2,3,14,15,13,7,6,1,12,4,9,5,17,11,10,16,8,2
2,13,14,12,6,5,0,11,3,8,4,16,10,9,15,7,17,2,13,14,12,6,5,0,11,3,8,4,16,10,9,15,7,17
1,12,13,11,5,4,16,10,17,7,3,15,9,8,14,6,0,1,12,13,11,5,4,16,10,17,7,3,15,9,8,14,6,0
0,11,12,10,4,17,15,9,1,6,2,14,8,7,13,5,16,0,11,12,10,4,17,15,9,1,6,2,14,8,7,13,5,16
16,10,11,9,3,2,14,8,0,5,1,13,7,6,12,17,15,16,10,11,9,3,2,14,8,0,5,1,13,7,6,12,17,15
15,9,10,8,2,1,13,7,16,4,0,12,6,17,11,3,14,15,9,10,8,2,1,13,7,16,4,0,12,6,17,11,3,14
14,8,9,7,1,0,12,17,15,3,16,11,5,4,10,2,13,14,8,9,7,1,0,12,17,15,3,16,11,5,4,10,2,13
13,17,8,6,0,16,11,5,14,2,15,10,4,3,9,1,12,13,17,8,6,0,16,11,5,14,2,15,10,4,3,9,1,12
12,6,7,5,16,15,10,4,13,1,14,9,3,2,17,0,11,12,6,7,5,16,15,10,4,13,1,14,9,3,2,17,0,11
11,5,6,4,15,14,17,3,12,0,13,8,2,1,7,16,10,11,5,6,4,15,14,17,3,12,0,13,8,2,1,7,16,10
17,4,5,3,14,13,8,2,11,16,12,7,1,0,6,15,9,17,4,5,3,14,13,8,2,11,16,12,7,1,0,6,15,9
9,3,4,2,13,12,7,1,10,15,17,6,0,16,5,14,8,9,3,4,2,13,12,7,1,10,15,17,6,0,16,5,14,8
8,2,3,1,17,11,6,0,9,14,10,5,16,15,4,13,7,8,2,3,1,17,11,6,0,9,14,10,5,16,15,4,13,7
7,1,2,0,11,10,5,16,8,17,9,4,15,14,3,12,6,7,1,2,0,11,10,5,16,8,17,9,4,15,14,3,12,6
6,0,1,16,10,9,4,15,7,12,8,3,17,13,2,11,5,6,0,1,16,10,9,4,15,7,12,8,3,17,13,2,11,5
5,16,0,17,9,8,3,14,6,11,7,2,13,12,1,10,4,5,16,0,17,9,8,3,14,6,11,7,2,13,12,1,10,4
4,15,17,14,8,7,2,13,5,10,6,1,12,11,0,9,3,4,15,17,14,8,7,2,13,5,10,6,1,12,11,0,9,3
10,7,16,15,12,3,9,6,2,13,11,0,14,5,8,4,1,10,7,16,15,12,3,9,6,2,13,11,0,14,5,8,4,1
