0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
18,1,4,28,22,17,37,32,39,9,19,23,40,10,26,35,15,42,8,12,44,30,43,41,20,16,25,45,33,5,13,7,6,36,24,2,3,31,34,21,29,38,14,11,27,18,1,4,28,22,17,37,32,39,9,19,23,40,10,26,35,15,42,8,12,44,30,43,41,20,16,25,45,33,5,13,7,6,36,24,2,3,31,34,21,29,38,14,11,27
17,0,3,27,21,16,36,31,38,8,18,22,39,9,25,34,14,41,7,11,43,29,42,40,19,15,24,44,32,4,12,6,5,35,23,45,2,30,33,20,28,37,13,10,26,17,0,3,27,21,16,36,31,38,8,18,22,39,9,25,34,14,41,7,11,43,29,42,40,19,15,24,44,32,4,12,6,5,35,23,45,2,30,33,20,28,37,13,10,26
16,44,45,26,20,15,35,30,37,7,17,21,38,8,24,33,13,40,6,10,42,28,41,39,18,14,23,43,31,3,11,5,4,34,22,0,1,29,32,19,27,36,12,9,25,16,44,45,26,20,15,35,30,37,7,17,21,38,8,24,33,13,40,6,10,42,28,41,39,18,14,23,43,31,3,11,5,4,34,22,0,1,29,32,19,27,36,12,9,25
15,43,1,25,19,14,34,29,36,6,16,20,37,7,23,32,12,39,5,9,41,27,40,38,17,13,22,42,30,2,10,4,45,33,21,44,0,28,31,18,26,35,11,8,24,15,43,1,25,19,14,34,29,36,6,16,20,37,7,23,32,12,39,5,9,41,27,40,38,17,13,22,42,30,2,10,4,45,33,21,44,0,28,31,18,26,35,11,8,24
14,42,0,24,18,13,33,28,35,5,15,19,36,6,22,31,11,38,45,8,40,26,39,37,16,12,21,41,29,1,9,3,2,32,20,43,44,27,30,17,25,34,10,7,23,14,42,0,24,18,13,33,28,35,5,15,19,36,6,22,31,11,38,45,8,40,26,39,37,16,12,21,41,29,1,9,3,2,32,20,43,44,27,30,17,25,34,10,7,23
13,41,44,23,17,12,32,27,34,4,14,18,35,45,21,30,10,37,3,7,39,25,38,36,15,11,20,40,28,0,8,2,1,31,19,42,43,26,29,16,24,33,9,6,22,13,41,44,23,17,12,32,27,34,4,14,18,35,45,21,30,10,37,3,7,39,25,38,36,15,11,20,40,28,0,8,2,1,31,19,42,43,26,29,16,24,33,9,6,22
12,40,43,22,16,11,31,26,33,3,13,17,34,4,20,29,9,36,2,45,38,24,37,35,14,10,19,39,27,44,7,1,0,30,18,41,42,25,28,15,23,32,8,5,21,12,40,43,22,16,11,31,26,33,3,13,17,34,4,20,29,9,36,2,45,38,24,37,35,14,10,19,39,27,44,7,1,0,30,18,41,42,25,28,15,23,32,8,5,21
11,39,42,21,15,10,30,25,32,2,12,16,33,3,19,28,8,35,1,5,37,23,36,34,13,9,18,38,26,43,6,0,44,29,17,40,41,24,27,14,22,31,45,4,20,11,39,42,21,15,10,30,25,32,2,12,16,33,3,19,28,8,35,1,5,37,23,36,34,13,9,18,38,26,43,6,0,44,29,17,40,41,24,27,14,22,31,45,4,20
10,38,41,20,14,9,29,24,31,1,11,15,32,2,18,27,7,34,0,4,36,22,35,33,12,45,17,37,25,42,5,44,43,28,16,39,40,23,26,13,21,30,6,3,19,10,38,41,20,14,9,29,24,31,1,11,15,32,2,18,27,7,34,0,4,36,22,35,33,12,45,17,37,25,42,5,44,43,28,16,39,40,23,26,13,21,30,6,3,19
45,37,40,19,13,8,28,23,30,0,10,14,31,1,17,26,6,33,44,3,35,21,34,32,11,7,16,36,24,41,4,43,42,27,15,38,39,22,25,12,20,29,5,2,18,45,37,40,19,13,8,28,23,30,0,10,14,31,1,17,26,6,33,44,3,35,21,34,32,11,7,16,36,24,41,4,43,42,27,15,38,39,22,25,12,20,29,5,2,18
8,36,39,18,12,7,27,22,29,44,9,13,30,0,16,25,5,32,43,2,34,20,33,31,45,6,15,35,23,40,3,42,41,26,14,37,38,21,24,11,19,28,4,1,17,8,36,39,18,12,7,27,22,29,44,9,13,30,0,16,25,5,32,43,2,34,20,33,31,45,6,15,35,23,40,3,42,41,26,14,37,38,21,24,11,19,28,4,1,17
7,35,38,17,45,6,26,21,28,43,8,12,29,44,15,24,4,31,42,1,33,19,32,30,9,5,14,34,22,39,2,41,40,25,13,36,37,20,23,10,18,27,3,0,16,7,35,38,17,45,6,26,21,28,43,8,12,29,44,15,24,4,31,42,1,33,19,32,30,9,5,14,34,22,39,2,41,40,25,13,36,37,20,23,10,18,27,3,0,16
