0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
16,18,26,20,9,4,13,31,34,7,29,27,19,11,10,2,6,32,8,15,24,17,21,30,5,23,35,3,33,22,14,28,25,12,1,16,18,26,20,9,4,13,31,34,7,29,27,19,11,10,2,6,32,8,15,24,17,21,30,5,23,35,3,33,22,14,28,25,12,1
15,17,25,19,8,3,12,30,33,6,28,26,18,10,9,35,5,31,7,14,23,16,20,29,4,22,34,2,32,21,13,27,24,11,0,15,17,25,19,8,3,12,30,33,6,28,26,18,10,9,35,5,31,7,14,23,16,20,29,4,22,34,2,32,21,13,27,24,11,0
14,16,24,18,7,35,11,29,32,5,27,25,17,9,8,0,4,30,6,13,22,15,19,28,3,21,33,1,31,20,12,26,23,10,34,14,16,24,18,7,35,11,29,32,5,27,25,17,9,8,0,4,30,6,13,22,15,19,28,3,21,33,1,31,20,12,26,23,10,34
13,15,23,17,6,1,10,28,31,4,26,24,16,8,7,34,35,29,5,12,21,14,18,27,2,20,32,0,30,19,11,25,22,9,33,13,15,23,17,6,1,10,28,31,4,26,24,16,8,7,34,35,29,5,12,21,14,18,27,2,20,32,0,30,19,11,25,22,9,33
12,14,22,16,5,0,9,27,30,3,25,23,15,7,6,33,2,28,35,11,20,13,17,26,1,19,31,34,29,18,10,24,21,8,32,12,14,22,16,5,0,9,27,30,3,25,23,15,7,6,33,2,28,35,11,20,13,17,26,1,19,31,34,29,18,10,24,21,8,32
11,13,21,15,4,34,8,26,29,2,24,22,14,6,35,32,1,27,3,10,19,12,16,25,0,18,30,33,28,17,9,23,20,7,31,11,13,21,15,4,34,8,26,29,2,24,22,14,6,35,32,1,27,3,10,19,12,16,25,0,18,30,33,28,17,9,23,20,7,31
10,12,20,14,3,33,7,25,28,1,23,21,13,5,4,31,0,26,2,9,18,11,15,24,34,17,29,32,27,16,8,22,19,35,30,10,12,20,14,3,33,7,25,28,1,23,21,13,5,4,31,0,26,2,9,18,11,15,24,34,17,29,32,27,16,8,22,19,35,30
9,11,19,13,2,32,6,24,27,0,22,20,12,4,3,30,34,25,1,8,17,10,14,23,33,16,28,31,26,15,35,21,18,5,29,9,11,19,13,2,32,6,24,27,0,22,20,12,4,3,30,34,25,1,8,17,10,14,23,33,16,28,31,26,15,35,21,18,5,29
35,10,18,12,1,31,5,23,26,34,21,19,11,3,2,29,33,24,0,7,16,9,13,22,32,15,27,30,25,14,6,20,17,4,28,35,10,18,12,1,31,5,23,26,34,21,19,11,3,2,29,33,24,0,7,16,9,13,22,32,15,27,30,25,14,6,20,17,4,28
7,35,17,11,0,30,4,22,25,33,20,18,10,2,1,28,32,23,34,6,15,8,12,21,31,14,26,29,24,13,5,19,16,3,27,7,35,17,11,0,30,4,22,25,33,20,18,10,2,1,28,32,23,34,6,15,8,12,21,31,14,26,29,24,13,5,19,16,3,27
6,8,16,35,34,29,3,21,24,32,19,17,9,1,0,27,31,22,33,5,14,7,11,20,30,13,25,28,23,12,4,18,15,2,26,6,8,16,35,34,29,3,21,24,32,19,17,9,1,0,27,31,22,33,5,14,7,11,20,30,13,25,28,23,12,4,18,15,2,26
5,7,15,9,33,28,2,20,23,31,18,16,8,0,34,26,30,21,32,4,13,6,10,19,29,12,24,27,22,35,3,17,14,1,25,5,7,15,9,33,28,2,20,23,31,18,16,8,0,34,26,30,21,32,4,13,6,10,19,29,12,24,27,22,35,3,17,14,1,25
4,6,14,8,32,27,1,19,22,30,17,15,7,34,33,25,29,20,31,3,35,5,9,18,28,11,23,26,21,10,2,16,13,0,24,4,6,14,8,32,27,1,19,22,30,17,15,7,34,33,25,29,20,31,3,35,5,9,18,28,11,23,26,21,10,2,16,13,0,24
3,5,35,7,31,26,0,18,21,29,16,14,6,33,32,24,28,19,30,2,11,4,8,17,27,10,22,25,20,9,1,15,12,34,23,3,5,35,7,31,26,0,18,21,29,16,14,6,33,32,24,28,19,30,2,11,4,8,17,27,10,22,25,20,9,1,15,12,34,23
