0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,3,24,9,4,1,18,12,25,16,21,6,5,8,14,15,20,23,7,17,13,2,22,10,19,11,3,24,9,4,1,18,12,25,16,21,6,5,8,14,15,20,23,7,17,13,2,22,10,19
10,2,23,8,3,0,17,11,24,15,20,5,4,7,13,14,19,22,6,16,12,25,21,9,18,10,2,23,8,3,0,17,11,24,15,20,5,4,7,13,14,19,22,6,16,12,25,21,9,18
9,1,22,7,25,24,16,10,23,14,19,4,3,6,12,13,18,21,5,15,11,0,20,8,17,9,1,22,7,25,24,16,10,23,14,19,4,3,6,12,13,18,21,5,15,11,0,20,8,17
8,0,21,6,1,23,15,9,22,13,18,25,2,5,11,12,17,20,4,14,10,24,19,7,16,8,0,21,6,1,23,15,9,22,13,18,25,2,5,11,12,17,20,4,14,10,24,19,7,16
7,24,20,5,0,22,14,8,21,12,17,2,1,25,10,11,16,19,3,13,9,23,18,6,15,7,24,20,5,0,22,14,8,21,12,17,2,1,25,10,11,16,19,3,13,9,23,18,6,15
6,23,19,4,24,21,13,7,20,11,16,1,0,3,9,10,15,18,2,12,8,22,17,25,14,6,23,19,4,24,21,13,7,20,11,16,1,0,3,9,10,15,18,2,12,8,22,17,25,14
5,22,18,3,23,20,12,25,19,10,15,0,24,2,8,9,14,17,1,11,7,21,16,4,13,5,22,18,3,23,20,12,25,19,10,15,0,24,2,8,9,14,17,1,11,7,21,16,4,13
4,21,17,2,22,19,11,5,18,9,14,24,23,1,25,8,13,16,0,10,6,20,15,3,12,4,21,17,2,22,19,11,5,18,9,14,24,23,1,25,8,13,16,0,10,6,20,15,3,12
3,20,16,1,21,18,10,4,17,25,13,23,22,0,6,7,12,15,24,9,5,19,14,2,11,3,20,16,1,21,18,10,4,17,25,13,23,22,0,6,7,12,15,24,9,5,19,14,2,11
2,19,15,0,20,17,25,3,16,7,12,22,21,24,5,6,11,14,23,8,4,18,13,1,10,2,19,15,0,20,17,25,3,16,7,12,22,21,24,5,6,11,14,23,8,4,18,13,1,10
1,18,14,24,19,16,8,2,15,6,11,21,20,23,4,5,25,13,22,7,3,17,12,0,9,1,18,14,24,19,16,8,2,15,6,11,21,20,23,4,5,25,13,22,7,3,17,12,0,9
0,17,13,23,18,15,7,1,14,5,10,20,19,22,3,4,9,12,21,6,2,16,25,24,8,0,17,13,23,18,15,7,1,14,5,10,20,19,22,3,4,9,12,21,6,2,16,25,24,8
24,16,25,22,17,14,6,0,13,4,9,19,18,21,2,3,8,11,20,5,1,15,10,23,7,24,16,25,22,17,14,6,0,13,4,9,19,18,21,2,3,8,11,20,5,1,15,10,23,7
23,15,11,21,16,25,5,24,12,3,8,18,17,20,1,2,7,10,19,4,0,14,9,22,6,23,15,11,21,16,25,5,24,12,3,8,18,17,20,1,2,7,10,19,4,0,14,9,22,6
22,25,10,20,15,12,4,23,11,2,7,17,16,19,0,1,6,9,18,3,24,13,8,21,5,22,25,10,20,15,12,4,23,11,2,7,17,16,19,0,1,6,9,18,3,24,13,8,21,5
21,13,9,19,14,11,3,22,10,1,6,16,25,18,24,0,5,8,17,2,23,12,7,20,4,21,13,9,19,14,11,3,22,10,1,6,16,25,18,24,0,5,8,17,2,23,12,7,20,4
20,12,8,18,13,10,2,21,9,0,5,15,14,17,23,24,4,7,25,1,22,11,6,19,3,20,12,8,18,13,10,2,21,9,0,5,15,14,17,23,24,4,7,25,1,22,11,6,19,3
19,11,7,25,12,9,1,20,8,24,4,14,13,16,22,23,3,6,15,0,21,10,5,18,2,19,11,7,25,12,9,1,20,8,24,4,14,13,16,22,23,3,6,15,0,21,10,5,18,2
25,10,6,16,11,8,0,19,7,23,3,13,12,15,21,22,2,5,14,24,20,9,4,17,1,25,10,6,16,11,8,0,19,7,23,3,13,12,15,21,22,2,5,14,24,20,9,4,17,1
17,9,5,15,10,7,24,18,6,22,2,12,11,14,20,21,1,4,13,23,25,8,3,16,0,17,9,5,15,10,7,24,18,6,22,2,12,11,14,20,21,1,4,13,23,25,8,3,16,0
16,8,4,14,9,6,23,17,5,21,1,11,10,13,19,25,0,3,12,22,18,7,2,15,24,16,8,4,14,9,6,23,17,5,21,1,11,10,13,19,25,0,3,12,22,18,7,2,15,24
15,7,3,13,8,5,22,16,4,20,0,10,9,12,18,19,24,2,11,25,17,6,1,14,23,15,7,3,13,8,5,22,16,4,20,0,10,9,12,18,19,24,2,11,25,17,6,1,14,23
14,6,2,12,7,4,21,15,3,19,24,9,8,11,17,18,23,1,10,20,16,5,0,13,25,14,6,2,12,7,4,21,15,3,19,24,9,8,11,17,18,23,1,10,20,16,5,0,13,25
13,5,1,11,6,3,20,14,2,18,25,8,7,10,16,17,22,0,9,19,15,4,24,12,21,13,5,1,11,6,3,20,14,2,18,25,8,7,10,16,17,22,0,9,19,15,4,24,12,21
12,4,0,10,5,2,19,13,1,17,22,7,6,9,15,16,21,25,8,18,14,3,23,11,20,12,4,0,10,5,2,19,13,1,17,22,7,6,9,15,16,21,25,8,18,14,3,23,11,20
18,14,12,17,2,13,9,6,0,8,23,3,15,4,7,20,10,24,16,21,19,1,11,5,22,18,14,12,17,2,13,9,6,0,8,23,3,15,4,7,20,10,24,16,21,19,1,11,5,22
