0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
13,7,10,3,1,5,4,2,6,11,8,12,9,13,7,10,3,1,5,4,2,6,11,8,12,9
12,6,9,2,0,4,3,13,5,10,7,11,8,12,6,9,2,0,4,3,13,5,10,7,11,8
11,5,8,1,12,3,13,0,4,9,6,10,7,11,5,8,1,12,3,13,0,4,9,6,10,7
10,4,7,0,11,2,1,12,13,8,5,9,6,10,4,7,0,11,2,1,12,13,8,5,9,6
9,3,6,12,10,1,0,11,2,7,13,8,5,9,3,6,12,10,1,0,11,2,7,13,8,5
8,2,13,11,9,0,12,10,1,6,3,7,4,8,2,13,11,9,0,12,10,1,6,3,7,4
7,1,4,10,8,12,11,9,0,5,2,13,3,7,1,4,10,8,12,11,9,0,5,2,13,3
6,0,3,9,13,11,10,8,12,4,1,5,2,6,0,3,9,13,11,10,8,12,4,1,5,2
5,12,2,13,6,10,9,7,11,3,0,4,1,5,12,2,13,6,10,9,7,11,3,0,4,1
4,11,1,7,5,13,8,6,10,2,12,3,0,4,11,1,7,5,13,8,6,10,2,12,3,0
3,13,0,6,4,8,7,5,9,1,11,2,12,3,13,0,6,4,8,7,5,9,1,11,2,12
2,9,12,5,3,7,6,4,8,0,10,1,13,2,9,12,5,3,7,6,4,8,0,10,1,13
1,8,11,4,2,6,5,3,7,13,9,0,10,1,8,11,4,2,6,5,3,7,13,9,0,10
0,10,5,8,7,9,2,1,3,12,4,6,11,0,10,5,8,7,9,2,1,3,12,4,6,11
